case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
18,2,5,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.8740055511077838,1.3877787807814457e-16,0.0,9.123040101144397e-10,6.125590035210848e-10,3.0531133177191805e-16,2.220446049250313e-16,True,2.220446049250313e-16,0.4113251779636672
19,6,4,2,2,4,0.0,4.440892098500626e-16,0.660519348920473,1.3877787807814457e-17,0.0,3.9675585039589123e-10,2.157676259884056e-10,2.220446049250313e-16,4.440892098500626e-16,False,0.0,0.0
20,7,6,2,2,5,2.220446049250313e-16,6.661338147750939e-16,0.7732458684545351,1.1102230246251565e-16,0.0,3.40385497565876e-10,4.301594636046957e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
21,5,6,3,3,2,1.6653345369377348e-16,6.661338147750939e-16,0.392208587614878,1.5265566588595902e-16,0.0,3.893243505359578e-10,3.3872266103074367e-10,3.3306690738754696e-16,2.220446049250313e-16,True,4.440892098500626e-16,0.3972887506081545
22,9,5,4,4,5,2.7755575615628914e-16,1.3322676295501878e-15,0.26216168939149265,3.3306690738754696e-16,0.0,4.278829512927018e-10,6.70429822768881e-11,6.106226635438361e-16,1.6653345369377348e-15,False,0.0,0.0
23,5,6,2,2,3,1.1102230246251565e-16,4.440892098500626e-16,0.5880595628649671,5.551115123125783e-17,0.0,3.493643152552295e-10,1.2731971033019818e-10,5.551115123125783e-16,1.1102230246251565e-16,False,0.0,0.0
24,9,5,2,2,7,5.551115123125783e-17,3.3306690738754696e-16,0.5743068062968225,2.7755575615628914e-17,0.0,3.265655801332201e-10,3.265655801332201e-10,2.220446049250313e-16,4.440892098500626e-16,True,5.551115123125783e-17,0.26101167923851737
25,4,3,1,1,3,1.1102230246251565e-16,2.7755575615628914e-17,0.46199647163725804,0.0,0.0,2.4933810571781123e-10,3.187193842180136e-10,2.220446049250313e-16,1.1102230246251565e-16,False,0.0,0.0
26,1,2,1,1,0,1.1102230246251565e-16,2.220446049250313e-16,0.06261408341718994,1.1102230246251565e-16,0.0,3.278710636323012e-11,2.3041846208826655e-11,3.3306690738754696e-16,1.1102230246251565e-16,False,0.0,0.0
27,8,2,1,1,7,0.0,5.551115123125783e-17,0.5642678419859954,1.734723475976807e-18,0.0,1.0672529526800645e-10,1.0672529526800645e-10,3.3306690738754696e-16,5.551115123125783e-17,True,1.1102230246251565e-16,0.346384779043683
28,7,6,2,2,5,1.1102230246251565e-16,8.881784197001252e-16,0.43830058957007256,1.1102230246251565e-16,0.0,4.945327689021006e-10,4.945327689021006e-10,4.440892098500626e-16,2.220446049250313e-16,False,0.0,0.0
29,3,4,1,1,2,2.7755575615628914e-17,8.326672684688674e-17,0.3316810179193169,6.591949208711867e-17,0.0,1.0104739267546847e-10,1.0104739267546847e-10,2.220446049250313e-16,1.1102230246251565e-16,False,0.0,0.0
30,1,7,1,1,0,2.220446049250313e-16,1.1102230246251565e-16,0.9440816560615177,0.0,0.0,3.1517755072485443e-10,2.8764968185157613e-10,4.440892098500626e-16,2.220446049250313e-16,False,0.0,0.0
31,1,2,1,1,0,1.1102230246251565e-16,0.0,0.18907380134243326,0.0,0.0,1.1595169269185135e-12,1.3223838690734624e-11,3.3306690738754696e-16,2.7755575615628914e-17,False,0.0,0.0
32,3,3,2,2,1,3.3306690738754696e-16,1.1102230246251565e-16,0.8087764399549179,5.551115123125783e-17,0.0,5.796563229409912e-11,5.796563229409912e-11,4.440892098500626e-16,5.551115123125783e-17,False,0.0,0.0
33,8,3,2,2,6,1.6653345369377348e-16,4.440892098500626e-16,0.27982837030442825,1.1102230246251565e-16,0.0,1.7820092623743733e-10,6.717862377492168e-11,3.608224830031759e-16,3.3306690738754696e-16,True,1.6653345369377348e-16,0.2585181043656468
34,10,6,5,5,5,2.220446049250313e-16,8.881784197001252e-16,0.2512308894156267,1.1102230246251565e-16,0.0,2.3638513368950953e-10,1.6194884322473513e-10,3.3306690738754696e-16,8.881784197001252e-16,False,0.0,0.0
35,2,5,1,1,1,1.1102230246251565e-16,1.3530843112619095e-16,0.9000017952501986,0.0,0.0,1.5782808393538517e-10,1.5782808393538517e-10,2.220446049250313e-16,5.551115123125783e-17,False,0.0,0.0
36,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
37,6,7,3,3,3,1.1102230246251565e-16,8.881784197001252e-16,0.8427591188297756,1.3877787807814457e-16,0.0,2.1666653193808116e-10,1.6098403166076025e-10,2.220446049250313e-16,8.881784197001252e-16,False,0.0,0.0
38,6,4,1,1,5,5.551115123125783e-17,1.1102230246251565e-16,0.8956013871692668,1.1102230246251565e-16,0.0,1.6248535850138524e-10,1.6248535850138524e-10,4.2327252813834093e-16,2.220446049250313e-16,False,0.0,0.0
39,4,7,4,4,0,2.220446049250313e-16,4.440892098500626e-16,0.6147765223826255,1.6653345369377348e-16,0.0,4.060962122132139e-10,3.1007751921663385e-10,4.440892098500626e-16,2.42861286636753e-16,False,0.0,0.0
40,2,4,1,1,1,0.0,0.0,0.6102079808252555,0.0,0.0,9.209966123080449e-11,2.659541475935612e-10,4.440892098500626e-16,1.1102230246251565e-16,False,0.0,0.0
41,3,2,1,1,2,2.7755575615628914e-17,2.7755575615628914e-17,0.046938499814641405,2.7755575615628914e-17,0.0,2.304684221243747e-12,6.720901613022079e-12,1.942890293094024e-16,1.1102230246251565e-16,False,0.0,0.0
42,4,5,3,3,1,1.1102230246251565e-16,4.440892098500626e-16,1.0739052498584456,3.3306690738754696e-16,0.0,3.269227111246664e-10,4.862337199540434e-10,2.220446049250313e-16,6.661338147750939e-16,True,1.1102230246251565e-16,0.27539182266176043
43,9,3,1,1,8,1.1102230246251565e-16,1.1102230246251565e-16,0.7026035057498928,1.1102230246251565e-16,0.0,3.644912149880497e-11,5.347816633971547e-11,1.6653345369377348e-16,4.440892098500626e-16,False,0.0,0.0
44,7,6,1,1,6,2.220446049250313e-16,2.7755575615628914e-16,1.0125167167590368,0.0,0.0,1.2788696768240015e-09,1.2788696768240015e-09,2.7755575615628914e-16,1.1102230246251565e-16,False,0.0,0.0
45,3,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.1102230246251565e-16,0.4539842569457899
46,8,8,7,7,1,2.7755575615628914e-16,8.881784197001252e-16,0.008849133921366992,2.498001805406602e-16,0.0,2.135839838324216e-10,2.7391677814847526e-10,4.440892098500626e-16,1.0685896612017132e-15,False,0.0,0.0
